Year,Name,Role
2023,John-Paul Pretti,Secretary
2023,Eljakim Schrijvers,Treasurer
2023,Araz Yusubov,IC member
2023,Brian Marshal,IC member
2023,Catherine Espinoza,IC member
2023,Eduards Kaļiņičenko,IC member
2023,Eslam Wageed,IC member
2023,Jhonatan Castro,IC member
2023,László Jobbágy,IC member
2023,Mile Jovanov,IC member
2023,Sun Teck Tan,IC member
2023,Agustín Santiago Gutiérrez,ISC member
2023,Jonathan Irvin Gunawan,ISC member
2023,Mahmoud Badawy,ISC member
2023,Michal Forišek,ISC member
2023,Miguel Angel Ortiz Merida,ISC member
2023,Mikhail Tikhomirov,ISC member
2023,Zsolt Németh,ISC member
2023,Amir Keivan Mohtashami,ITC member
2023,Ashar Fuadi,ITC member
2023,Hamid Zarrabi-Zadeh,ITC member
2023,László Nyúl,ITC member
2023,Martin Mareš,ITC member
2023,Omar Quispe Mita,ITC member
2023,Wael Ewida,ITC member
2024,Benjamin Burton,President
2024,John-Paul Pretti,Secretary
2024,Eljakim Schrijvers,Treasurer
2024,Araz Yusubov,IC member
2024,Eduards Kaļiņičenko,IC member
2024,Eslam Wageed,IC member
2024,Flóra Anna Rétfalvi,IC member
2024,Fredrik Niemelä,IC member
2024,Jhonatan Castro,IC member
2024,Khumoyun Sultonov,IC member
2024,Sandra Schumann,IC member
2024,Sun Teck Tan,IC member
2024,Agustín Santiago Gutiérrez,ISC member
2024,Ali Sharifi Zarchi,ISC member
2024,Mahmoud Badawy,ISC member
2024,Michal Forišek,ISC member
2024,Miguel Angel Ortiz Merida,ISC member
2024,Raif Akhmedshin,ISC member
2024,Zsolt Németh,ISC member
2024,Amir Keivan Mohtashami,ITC member
2024,Davlatbek Mirakulov,ITC member
2024,Hamid Zarrabi-Zadeh,ITC member
2024,László Nyúl,ITC member
2024,Martin Mareš,ITC member
2024,Omar Quispe Mita,ITC member
2024,Wael Ewida,ITC member
